抿 ..-....-.---
坦 ....--..--.-
扰 .-.--.....-.
煤 .-.---.-...-
败 -----....---
叙 .-.---..-.-.
哨 -.-.....--.-
舶 --....-.--.-
尊 .--..-..-..-
犬 ...--..----.
崇 .--.-.......
悦 --.-.--...-.
膝 .---...-....
桅 -..---.-...-
抛 -----.--.-.-
渔 .-........--
裸 .---.----..-
坳 .------.-...
居 -..-.------.
史 -.-.-.....-.
嬉 -.-.---.--..
） .....-..--..
区 -......---..
中 -----.---..-
逢 .--..-.-.-..
吉 .-.---.-.-.-
嘿 .-.---.---.-
眩 --.-...-----
应 .-.-....--.-
恕 .--.---.-.-.
准 --.-.---..-.
咦 --..------.-
身 ..--.----.-.
升 -..-----..-.
辩 -...-...--.-
堪 ..----.-..-.
柬 ..-----.-...
穴 --.--.-..--.
② -.-.-..-.-..
眯 ...-.-.--.--
既 ----.....---
搁 .---.--.-...
步 .....-..---.
乞 ..--.-..----
扫 ..-.-.---...
计 .-..--.-....
屈 .--..---...-
呃 .--.--.--.-.
赤 -..--...-..-
项 -......-...-
搭 ..--..-..-..
辑 .-..---....-
僵 ....----...-
负 .--..-.--.-.
要 ......-.----
粗 ....-.-.-..-
汽 -..--.-..-.-
耗 .--..-.-.---
刈 -....-.---.-
“ .-.--.-..--.
跪 .---.-.-..-.
涕 --.--.-.-.--
晦 .--.--.....-
尽 .--....-.-.-
喱 --.-..---...
由 ---.-.-..-.-
巫 -.---..-----
芜 -.-......---
颅 -.---....-..
瞰 -.---....-.-
拨 .-...-..---.
逃 ...-..-.-.--
咚 ---...-...-.
你 ..-.--.--.-.
乌 ...-..-..---
咯 ..-..-.-...-
他 -..-.---...-
媳 --.-.-.---.-
戳 --.---.-....
纽 --...--.--..
观 ...-.-----..
！ .-..--...--.
鹅 -...--.--.--
按 --...---.-.-
略 .---.-.-...-
呈 ..-....---..
徊 .---.---..-.
桃 ---.-....---
7 --.-...-.-.-
大 -.-...--.--.
搔 .-----...--.
凝 -....---..--
坊 -----.--.--.
汗 -.-.-...---.
廊 ...-.--.-...
懦 ...-.-------
转 -.-.--------
雇 --.-.--.--.-
很 ...-.--.--..
诌 -.------.-.-
玉 ...-........
舍 -..-.--.-...
错 -.----......
迫 ......----..
忱 .........---
昂 ....-.----.-
辆 ...-....-..-
祥 .--.-.-.-.--
末 ---.-..-....
霆 -....-......
贮 .--..--.---.
簸 -..---.-.---
供 --...---..-.
忧 ..----..-.--
妩 .-.-.--..---
激 ----..---.--
畅 ..-.-----.-.
个 .-.--..-....
莱 -.-..--..--.
律 .--...-.-.-.
骨 --.----....-
的 .---.....---
诽 ..--------.-
哝 -.-.-----...
袋 ..--..---.-.
纳 --.--.-----.
邻 .-.----...-.
岸 --..-..-.--.
含 ...-.-...--.
版 ..-...-.-.--
考 -.--.----...
忌 --.---...--.
怨 ---..---.-..
苗 --...-.----.
护 ..-.-.-.-.-.
栽 .-..-..--..-
愧 ---..-.-...-
摊 ---.-.--.--.
搓 .-----....--
扬 .-------.---
蔑 .----....---
认 ..---..-.---
赏 ...--.--..-.
叵 .----..--.--
淅 -.......----
厄 .-------..-.
乘 -.---.....--
恭 .---.-.....-
咔 .---..--.---
J -.-..-.--...
口 .----...-..-
无 -.....---.-.
烟 ------.-....
稔 .---.-.-----
甬 ...---..-..-
愕 ..-.----...-
斟 -.--.-.-...-
挣 ...----.-..-
迈 .-.....-...-
东 ---.--.--..-
部 ....----..--
和 --...---.---
洋 --.-..-.--..
墨 .-...-..-.-.
哒 .-.-.....-..
期 ...-..---..-
稽 --.-...-.-..
趣 -.-.--....--
殆 ..-.-----.--
点 .-------.-.-
婶 --.--.-..-.-
课 ---.----....
懒 --.---..-..-
指 .----.--..-.
咙 .-..-......-
兄 ...---.-..--
借 -.-...-.-.--
割 .--.-.-..---
厉 ...-..-.---.
遣 ...---..-...
峋 -...-..-.-..
泄 ......-...-.
总 -..-...-....
央 -...-.-.-...
嫩 -........-..
蔓 .-.-..-..--.
引 -...--.-.-..
脂 -------..-..
钉 .--..-..--..
鉴 ..---...--.-
挡 .-.---.--...
谱 --.--.---...
滚 .-..-------.
窃 ----..--.--.
秒 .-----..---.
腐 .----.-----.
t ..--..-----.
颧 --.--...-...
裤 .-.-.-...-.-
迟 --.-.---....
烤 -......--.-.
痛 .-..-----..-
谐 .-..-.--.-.-
甘 -..-.--..---
霍 -.-.------..
郎 .--.-.....-.
轶 -.......-..-
宗 -.---.-----.
挫 ----..---...
